rank,verb,count
1,use,558
2,train,545
3,learn,335
4,show,261
5,pick,255
6,see,245
7,put,211
8,perform,192
9,move,187
10,provide,181
11,evaluate,172
12,require,164
13,find,160
14,have,158
15,include,157
16,base,144
17,follow,140
18,compare,134
19,condition,122
20,give,114
21,generate,114
22,achieve,114
23,pretraine,112
24,enable,111
25,bring,110
26,tune,106
27,make,102
28,improve,101
29,describe,93
30,demonstrate,91
31,embed,84
32,present,83
33,consist,81
34,propose,80
35,introduce,80
36,embody,79
37,take,79
38,place,79
39,allow,77
40,lead,74
41,apply,73
42,collect,72
43,predict,69
44,represent,68
45,explore,67
46,combine,65
47,design,65
48,execute,64
49,test,64
50,leverage,63
51,note,63
52,generalize,61
53,ground,60
54,study,60
55,utilize,58
56,solve,57
57,add,57
58,confound,57
59,object,56
60,discuss,56
61,grasp,54
62,consider,53
63,increase,53
64,outperform,53
65,indicate,52
66,scale,52
67,sample,52
68,adopt,52
69,mask,52
70,observe,50
71,adapt,50
72,specify,50
73,focus,50
74,exist,50
75,limit,49
76,correspond,48
77,build,48
78,result,46
79,employ,46
80,aim,45
81,need,45
82,develop,44
83,produce,43
84,run,43
85,investigate,43
86,support,43
87,match,43
88,manipulate,43
89,contain,42
90,prompt,42
91,encode,41
92,involve,41
93,understand,41
94,work,41
95,refer,40
96,obtain,40
97,conduct,40
98,set,40
99,pass,39
100,ask,38
101,incorporate,38
102,control,37
103,model,36
104,output,36
105,plan,36
106,token,36
107,list,35
108,compute,35
109,finetune,35
110,push,35
111,implement,34
112,supervise,34
113,exhibit,34
114,answer,33
115,help,33
116,complete,33
117,vary,33
118,report,32
119,assess,32
120,freeze,31
121,label,31
122,illustrate,30
123,reduce,30
124,address,30
125,grain,30
126,extend,29
127,denote,29
128,select,29
129,leave,29
130,cover,29
131,expect,28
132,serve,28
133,process,27
134,fold,27
135,download,27
136,license,27
137,open,26
138,lift,26
139,suggest,26
140,authorize,26
141,pose,25
142,capture,25
143,summarize,25
144,throw,25
145,close,25
146,initialize,25
147,transfer,25
148,mutate,25
149,measure,24
150,integrate,24
151,pack,24
152,choose,23
153,handle,23
154,mitigate,23
155,align,23
156,define,23
157,fail,22
158,remove,22
159,tokenize,22
160,fix,22
161,interpret,21
162,enhance,21
163,call,21
164,challenge,21
165,affect,21
166,source,20
167,change,20
168,guide,20
169,map,20
170,buss,20
171,decrease,20
172,pair,20
173,extract,19
174,ensure,19
175,drive,19
176,drop,19
177,deploy,19
178,remain,18
179,simulate,18
180,reach,18
181,start,17
182,query,17
183,become,17
184,release,17
185,differ,17
186,relate,17
187,rotate,17
188,position,17
189,clean,16
190,succeed,16
191,receive,16
192,ablate,16
193,end,16
194,terminate,16
195,inspire,16
196,believe,16
197,interleave,16
198,accomplish,15
199,optimize,15
200,create,15
201,inherit,15
202,reason,15
203,assemble,15
204,average,15
205,construct,15
206,attribute,15
207,determine,14
208,deﬁne,14
209,concatenate,14
210,rely,14
211,pre,14
212,annotate,14
213,keep,14
214,fuse,14
215,decode,14
216,act,13
217,lack,13
218,connect,13
219,come,13
220,mean,13
221,form,13
222,desire,13
223,feed,13
224,modify,13
225,write,13
226,record,13
227,identify,13
228,face,13
229,analyze,13
230,offer,13
231,struggle,13
232,reproduce,13
233,share,13
234,sweep,13
235,absorb,12
236,split,12
237,expand,12
238,dataset,12
239,knock,12
240,hold,12
241,replace,12
242,curate,12
243,formulate,12
244,convert,12
245,mention,11
246,saycan,11
247,wipe,11
248,project,11
249,examine,11
250,get,11
251,constitute,11
252,benefit,11
253,hope,11
254,depend,11
255,attain,11
256,continue,11
